ts,location1,avg_temp1,location2,avg_temp2,location3,avg_temp3,location4,avg_temp4,location5,avg_temp5,location6,avg_temp6,location7,avg_temp7,location8,avg_temp8,location9,avg_temp9,location10,avg_temp10
2022-05-01 00:00:00.0,23094,28.035580524344557,44429,27.977290076335805,12061,25.551039697542503,15544,24.271035087719305,67501,22.993721804511264,12007,7.771428571428583,12126,7.954543726235737,71205,10.072766726943943,10598,10.075198412698393,25514,10.093629343629345
2022-05-02 00:00:00.0,12061,26.54367088607597,6454,25.264285714285705,15935,25.16197440585008,44429,24.66131868131871,15845,24.642450765864282,12007,9.133124999999994,71205,9.762919132149923,69435,10.687178423236505,65443,10.756846473029057,25514,11.253177966101703
2022-05-03 00:00:00.0,12061,27.530943396226437,44429,26.818317757009396,15935,26.107042253521133,15845,25.430683180183685,13497,25.27873873873874,71205,9.136451612903215,12126,9.28835538752362,69435,9.590334572490711,15701,9.617844202898539,12938,9.76777163904236
2022-05-04 00:00:00.0,71493,28.38953488372093,44429,27.953275862069077,12061,27.605882352941155,15935,25.4350604490501,23094,25.058886894075346,12126,8.116413793103455,71205,9.44707903780068,25514,9.600182481751828,69435,10.549182608695666,17142,11.511130434782606
2022-05-05 00:00:00.0,23094,29.47809694793535,71493,28.344660194174768,12061,27.614946619217065,44429,26.718439716312048,15935,26.668641114982595,14784,10.186538461538465,25514,10.694717668488149,10598,10.760693641618507,67809,11.522809917355373,71205,12.195751295336795
2022-05-06 00:00:00.0,71493,31.905622489959867,23094,28.397876106194687,44429,27.706608695652125,12061,27.433626760563364,20733,27.414938488576457,12007,9.904173913043492,47352,11.725222551928788,65443,11.819014084507037,71205,12.080103092783506,66299,12.410954063604239
2022-05-07 00:00:00.0,44429,28.319230769230717,23094,28.195145631067973,15845,27.510757575757733,20733,27.33193430656935,12061,27.26317626527054,12007,9.760869565217398,47352,11.491317365269468,12126,11.930175131348514,65443,12.637823834196885,68743,12.962277580071172
2022-05-08 00:00:00.0,71493,32.725,44429,29.41859649122815,6454,27.252098765432105,12061,27.205923344947774,15845,26.87873563218389,12126,8.003684210526322,71205,9.955224913494803,25514,10.673214285714295,12007,11.060563380281687,69435,11.327135325131811
2022-05-09 00:00:00.0,44429,29.455178907721194,6454,28.88085642317381,15935,28.417137809187295,20733,28.26767485822306,71493,27.94343434343434,8362,-59.6,71205,8.961038961038959,69435,10.69962756052142,69545,12.485654648956373,65443,12.5331300813008
2022-05-10 00:00:00.0,15935,31.115873015873017,9119,29.443238095238097,20733,28.919531250000023,12061,28.831212723658005,13497,28.485245398773007,64455,12.871666666666666,12126,13.98208984374998,69545,14.128150943396223,68743,14.1906790945406,25514,14.913438735177886
2022-05-11 00:00:00.0,15935,33.54268077601412,9119,31.666226415094336,13497,30.554107142857134,15575,30.128615384615387,12061,29.723384030418206,19644,13.61650853889942,68911,13.889579524680054,64455,14.256410256410259,12126,14.540853432282015,25514,14.854562737642613
2022-05-12 00:00:00.0,15935,31.022007042253552,15680,29.1945614035088,28574,28.97170923379176,13497,28.91474474474472,14023,28.49607843137254,12126,13.376807692307688,25514,13.457335907335912,68911,13.5421521335807,71205,13.75293693693692,19644,13.770244821092291
2022-05-13 00:00:00.0,71493,29.694202898550728,23094,28.576190476190472,15935,27.776056338028166,13497,27.732462908011865,34388,27.336888888888883,25514,12.342217898832693,12126,12.634685714285713,71205,13.638346456692911,18782,13.991071428571422,17142,14.045149911816573
2022-05-14 00:00:00.0,15935,30.196864111498257,71493,29.85551102204408,20733,28.544789762340045,23094,28.258768656716416,15680,27.49192982456141,14784,11.662559241706166,12126,12.890386740331492,71205,13.210107142857144,68127,13.405625,69435,13.442899082568818
2022-05-15 00:00:00.0,20733,31.747329650092095,15935,31.56443661971832,71493,30.420652173913055,15709,30.2704761904762,6454,30.032581453634105,25514,12.734423076923088,71205,12.799964664310977,12126,13.429830188679238,69435,13.51794007490637,65697,14.358069498069499
2022-05-16 00:00:00.0,6454,30.104859335038373,20733,30.05407407407413,12061,28.797896749521982,13497,28.56978851963747,15845,27.882930756843862,12126,11.100620300751883,71205,12.067513611615267,69435,13.37412878787879,25514,13.616926070038907,69545,14.858876404494374
2022-05-17 00:00:00.0,20733,31.68181818181821,15935,30.790509666080855,13497,29.489570552147235,44429,28.503531598512954,12061,28.297164461247668,71205,9.667542857142854,12126,9.818152985074633,69435,11.118801498127345,65697,11.95349019607843,12938,12.163051470588249
2022-05-18 00:00:00.0,15709,32.88495590828922,20733,32.378219696969744,13570,31.90666666666667,9119,31.90576208178437,15144,31.62387596899226,12126,7.949521739130433,66564,9.303469387755102,71205,10.218098591549303,69545,11.385351043643258,69007,11.8764258555133
2022-05-19 00:00:00.0,15935,33.58017699115044,13497,32.3315337423313,12061,30.81637080867845,68012,30.166347992351852,63220,30.157627118644033,67353,9.13784946236559,15701,13.68215439856374,68743,14.615474642392718,7882,14.983275261324039,69651,15.056683168316829
2022-05-20 00:00:00.0,15935,35.02291296625225,28574,32.76546906187624,14023,32.757015985790446,15680,32.132188065099456,11321,32.01241970021416,19644,13.866019417475734,66403,15.096531791907502,68911,15.405152671755724,25514,15.561341222879681,7830,15.890242085661082
2022-05-21 00:00:00.0,15935,31.160105448154635,56286,28.500562851782366,15680,28.228091872791524,28574,28.211023622047236,12753,27.75369718309858,12938,11.844194756554298,71205,12.120641711229952,69435,12.701852551984864,25514,12.969504950495045,65765,13.631212121212117
