ts,location1,avg_temp1,location2,avg_temp2,location3,avg_temp3,location4,avg_temp4,location5,avg_temp5,location6,avg_temp6,location7,avg_temp7,location8,avg_temp8,location9,avg_temp9,location10,avg_temp10
2022-05-07 03:00:00.0,23094,30.254166666666663,44429,28.05416666666667,71493,26.125,12061,26.08333333333334,20733,25.132,68743,4.388888888888889,69934,5.073333333333333,35582,5.087500000000001,20848,5.445454545454544,7389,5.766666666666667
2022-05-07 04:00:00.0,23094,31.237500000000004,44429,27.951999999999988,12061,25.98333333333333,20733,24.995833333333334,71493,24.509523809523802,20848,5.6000000000000005,7389,6.316,14784,6.560869565217391,35582,6.884000000000001,69934,6.974399999999998
2022-05-07 05:00:00.0,44429,27.788,12061,25.899999999999988,20733,24.91199999999999,71493,23.62,15544,23.593200000000003,14784,7.708333333333333,8227,7.995833333333334,69934,8.616666666666665,10869,8.704166666666666,20848,9.063636363636363
2022-05-07 06:00:00.0,34388,27.770000000000003,44429,27.716666666666672,68221,27.167500000000004,71463,26.295833333333334,12061,25.983333333333334,8227,9.8125,47352,9.820000000000002,12007,9.862499999999999,14784,10.304347826086957,66299,10.36
2022-05-07 07:00:00.0,9119,34.20416666666667,68221,33.03333333333333,15144,29.88478260869566,71463,29.441666666666663,34388,28.3,12007,10.203999999999999,47352,10.206666666666667,66299,11.075999999999997,8227,12.364,65443,12.708000000000002
2022-05-07 08:00:00.0,9119,41.404,15144,36.10458333333333,68221,34.541666666666664,12753,33.85416666666667,24639,31.495833333333326,12007,10.425000000000004,47352,11.415384615384616,66299,12.295833333333333,54746,12.973333333333333,65443,13.187499999999998
2022-05-07 09:00:00.0,9119,44.70434782608695,15144,40.14739130434782,15845,35.806930693069305,12753,34.625,12938,34.6125,12007,10.4,47352,12.414285714285713,54746,12.950000000000001,65443,14.408695652173913,8362,14.917391304347827
2022-05-07 10:00:00.0,9119,47.50454545454545,15144,43.7204761904762,15845,40.534042553191476,69934,34.194285714285705,68952,33.99090909090909,12007,11.100000000000001,47352,11.735714285714284,65443,14.157142857142858,8362,15.954999999999998,54746,16.12666666666666
2022-05-07 11:00:00.0,9119,44.362500000000004,15144,41.19869565217392,15845,40.86699029126213,69934,36.027499999999996,68952,35.966956521739135,12007,11.842105263157896,47352,12.085714285714285,65443,14.743478260869564,19644,16.078260869565213,12126,16.09
2022-05-07 12:00:00.0,15845,40.38666666666668,9119,35.533333333333324,65569,35.22083333333333,69934,34.93,68952,34.61478260869565,12007,10.766666666666667,47352,12.473333333333333,8362,14.591666666666669,19644,15.665217391304353,65443,16.59583333333333
2022-05-07 13:00:00.0,15845,43.00263157894738,65569,38.31304347826086,15626,36.38750000000001,68518,35.879999999999995,66372,35.86260869565218,12007,9.904166666666672,47352,12.399999999999999,8362,14.04166666666667,19644,15.4625,65443,15.766666666666667
2022-05-07 14:00:00.0,66372,39.828695652173906,65569,38.84166666666666,68518,38.05478260869565,15845,37.8929203539823,6454,37.49166666666666,12007,9.44,47352,13.257142857142858,12126,13.819599999999998,8362,14.124999999999998,65443,14.515999999999998
2022-05-07 15:00:00.0,68518,40.046956521739126,65569,39.63333333333334,6454,36.44583333333333,66372,34.85739130434782,15845,33.93148148148151,12007,9.8375,12126,11.916249999999998,47352,13.25333333333333,65443,13.875000000000002,19644,14.865217391304354
2022-05-07 16:00:00.0,68518,40.28521739130435,65569,38.050000000000004,10869,34.931999999999995,66372,34.15333333333333,13497,33.584666666666664,12007,10.080000000000002,12126,11.597200000000003,65443,13.20833333333333,47352,13.428571428571429,54746,14.47857142857143
2022-05-07 17:00:00.0,65569,32.52916666666667,13497,32.368,68518,29.97652173913044,15845,29.492035398230076,20733,28.928,12007,9.699999999999998,12126,10.707499999999998,65443,12.595999999999998,47352,13.013333333333337,68743,14.08055555555555
2022-05-07 18:00:00.0,13497,29.659285714285716,44429,29.054166666666678,65569,28.25,15845,27.860000000000024,12061,27.816666666666677,12007,9.504166666666665,12126,9.918750000000001,68743,11.444117647058825,65443,12.225,47352,12.546666666666665
2022-05-07 19:00:00.0,44429,29.18333333333334,13497,28.100666666666665,12061,27.587500000000006,20733,26.991666666666656,12234,26.3,12126,8.6448,12007,9.699999999999996,68743,9.775,12938,11.645833333333334,25514,11.687499999999998
2022-05-07 20:00:00.0,44429,29.267999999999986,12061,27.345833333333328,13497,26.502,20733,26.35416666666666,23208,25.14166666666667,12126,7.362083333333334,68743,9.125714285714286,12007,9.624999999999996,12938,10.012000000000002,25514,10.108333333333333
2022-05-07 21:00:00.0,44429,29.308333333333323,12061,27.2,13497,25.32933333333333,20733,25.14583333333334,15544,24.18583333333333,12126,6.010833333333334,12938,8.529166666666665,68743,8.666666666666664,25514,8.895833333333334,12007,9.633333333333328
2022-05-07 22:00:00.0,44429,29.351999999999993,12061,27.058333333333337,13497,24.63266666666667,67501,24.428333333333338,20733,24.41304347826086,12126,5.273199999999999,68743,7.602777777777778,12938,7.845833333333335,25514,7.874999999999999,17142,9.158333333333337
2022-05-07 23:00:00.0,44429,29.341666666666658,12061,26.951999999999988,67501,24.70666666666666,20733,24.019999999999985,15544,23.9732,12126,4.5375000000000005,68743,6.711428571428571,25514,6.943999999999999,12938,7.6160000000000005,69934,8.385
2022-05-08 00:00:00.0,44429,29.291999999999994,12061,26.816666666666677,67501,24.643333333333334,15544,23.852500000000003,20733,23.624999999999996,12126,3.7044000000000006,68743,5.375000000000001,25514,6.233333333333333,12938,7.362500000000001,68070,7.754166666666667
